descricao,problema
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: Digitalizar/Salvar documentos na rede na Unidade Público e no e-mail.<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: Falta de pasta da GEIMP na rede e impressora não está enviando documentos digitalizados para os e-mails.<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: Não é o caso.<br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: Incluir pasta GEIMP na rede na unidade P e liberar o envio de documentos digitalizados para os e-mails dos funcionários:<br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: Alto<br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: Com urgência<br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: Não é o caso.<br><br><b> Informações Adicionais:  </b><br><div><b><br></b></div><div><b>Solicito inclusão de pasta GEIMP na rede na Unidade P e solicito verificar por qual motivo a impressora não está enviando documentos digitalizados para o e-mail.</b></div>","Dados/Informações - Consulta"
"
            <b>Número da Nota Técnica: </b><span name=""r_numNT"">2017/00xxx</span><br>
            <b>1. Area Demandante: </b><span name=""r_arealotacao"">GECOM</span><br>
            <b>2. UF de Execução: </b><span name=""r_ufexecucao"">PR</span><br>
            <b>3. Modalidade de Licitação: </b><span name=""r_modalidade"">Inexigibilidade</span><br>
            <b>4. Fundamento Legal: </b><span name=""r_fundamento"">Lei 8666/93, artigo 25, caput.</span><br>
            <b>5. Objeto: </b><span name=""r_objeto"">Contratação de patrocínio para participação da FBB na XVI Jornada de Agroecologia.</span><br>
            <b>6. Quantidade: </b><span name=""r_quantidade""></span><br>
            <b>7. Unidade Padrão: </b><span name=""r_unidade""></span><br>
            <b>8. Funcionário designado para conduzir o processo: </b><span name=""r_nome"">DARLAN ADEMIR SCHEER</span><br>
            <b>9. Matrícula do funcionário designado: </b><span name=""r_matricula"">2.308.770-6</span><br>
            <b>10. CPF: </b><span name=""r_cpf"">529.793.340-49</span><br>
            <b>11. O instrumento de designação formal consta do processo? </b><span name=""r_designacao"">SIM</span><br>
            <b>12. Fornecedor: </b><span name=""r_fornecedor"">ASSOCIAÇÃO DE COOPERAÇÃO AGRÍCOLA E REFORMA AGRÁRIA - ACAP </span><br>
            <b>13. CNPJ/CPF do Fornecedor: </b><span name=""r_cnpjfornecedor"">02.881.494/0001-96</span><br>
            <b>14. Número do Contrato: </b><span name=""r_nrcontrato""></span><br>
            <b>15. Valor do Contrato: </b><span name=""r_valorcontrato"">30.000,00</span><br>
            <b>16. Data da publicação no DOU: </b><span>Após publicação no DOU envie e-mail para licitacao@fbb.org.br informando a data</span><br>
            <b>17. Início da Vigência do Contrato: </b><span name=""r_inicontrato"">Não informado</span><br>
            <b>18. Fim da Vigência do Contrato: </b><span name=""r_fimcontrato"">Não informado</span><br>
            <b>19. Prazo de Vigência: </b><span name=""r_prazovigencia"">Não informado</span>&nbsp;<span name=""r_prazounidade""> meses</span><br>
            <b>20. Aditivos (Quando da confecção informar o número do Aditivo.): </b><span name=""r_aditivos"">Não informado</span><br>
            <hr>
            <table id=""reg_excel"">
                <tbody><tr>
                    <td>
                        <span id=""data_ocorrencia"">03/08/2017</span>
                    </td>
                    <td>
                        <span name=""r_arealotacao"">GECOM</span>
                    </td>
                    <td>
                        <span>&nbsp;</span>
                    </td>
                    <td>
                        <span name=""r_ufexecucao"">PR</span>
                    </td>
                    <td>
                        <span name=""r_modalidade"">Inexigibilidade</span>
                    </td>
                    <td>
                        <span name=""r_fundamento"">Lei 8666/93, artigo 25, caput.</span>
                    </td>
                    <td>
                        <span name=""r_objeto"">Contratação de patrocínio para participação da FBB na XVI Jornada de Agroecologia.</span>
                    </td>
                    <td>
                        <span name=""r_quantidade""></span>
                    </td>
                    <td>
                        <span name=""r_unidade""></span>
                    </td>
                    <td>
                        <span name=""r_nome"">DARLAN ADEMIR SCHEER</span>
                    </td>
                    <td>
                        <span name=""r_matricula"">2.308.770-6</span>
                    </td>
                    <td>
                        <span name=""r_cpf"">529.793.340-49</span>
                    </td>
                    <td>
                        <span name=""r_designacao"">SIM</span>
                    </td>
                    <td>
                        <span name=""r_fornecedor"">ASSOCIAÇÃO DE COOPERAÇÃO AGRÍCOLA E REFORMA AGRÁRIA - ACAP </span>
                    </td>
                    <td>
                        <span name=""r_cnpjfornecedor"">02.881.494/0001-96</span>
                    </td>
                    <td>
                        <span name=""r_nrcontrato""></span>
                    </td>
                    <td>
                        <span name=""r_valorcontrato"">30.000,00</span>
                    </td>
                    <td>
                        <span>&nbsp;</span>
                    </td>
                    <td>
                        <span name=""r_inicontrato""></span>
                    </td>
                    <td>
                        <span name=""r_fimcontrato""></span>
                    </td>
                    <td>
                        <span name=""r_prazovigencia""></span>&nbsp;<span name=""r_prazounidade""> meses</span>
                    </td>
                    <td>
                        <span name=""r_aditivos""></span>
                    </td>
                </tr>
            </tbody></table>
            *
        ",Licitação
"
                <b style=""font-variant: small-caps; font-size: medium;"">Comunicado Interno</b><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
                <b>Título da mensagem: </b><span name=""r_titulo"">ENQUETE  PESQUISA</span><br>
                <b>Data e hora do evento: </b><span name=""r_data"">03/08/2017</span> às <span name=""r_horaini"">14:00</span><br>
                <b>Local de realização: </b><span name=""r_local"">FBB</span><br>
                <b>Conta como hora de treinamento? </b><span name=""rbPergunta01"">Não</span><br>
                <b>Código FIP a ser utilizado: </b><span name=""codigoFIP"">0</span><br>
                <b>Texto da mensagem: </b><br><span name=""r_textomsg"">o texto foi enviado por email para Marcelia</span><br>
            ","Comunicação Interna"
"<div><b>Digitalização indisponível</b></div>Impressora Samsung FBB4002 da Gerap.<div>Fica com mensagem de ""Enviando..."", mas sem sucesso.</div>","Equip de Informática - Instalação/Manutenção/Desinstalação"
"Bom dia, Getec!<div>Não estamos conseguindo acessar sites como&nbsp;http://www.pgfn.fazenda.gov.br/ e&nbsp;http://www.fgts.gov.br/empregador/servicos_online/consulta_crf.asp indispensáveis para formalização de convênios e análises de projetos.&nbsp;</div><div>Aguardamos a regularização.</div><div><br></div><div>Obrigada,</div><div>Sandra</div>","Solução para consulta de restrições"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: Rodar o Rating<span class=""Apple-tab-span"" style=""white-space:pre"">	</span><br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: O robô não localizou a sessão Sisbb iniciada.<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: <br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: <br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: &nbsp;Necessário para conclusão da análise e aprovação dos projetos.<br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: O quanto antes.<br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: Não<br><br><b> Informações Adicionais:  </b><br>","Software - Instalação / Configuração / Desinstalação"
"Prezados, mesmo não havendo pendências de conformidade para mim não consigo efetuar ligações externas utilizando a minha senha. Como resolvemos o problema?<br>","Telefone – Problemas Conformidade"
"André, bom dia. Conforme conversamos, gentileza abrir O.S. para instalação da TV na parede ao lado do comitê. É necessário abrir O.S. do tipo ""serralheiro"", pois será preciso reforçar os painéis onde a TV será instalada.<br>Obrigada.<br>","Problema Padrão - GEPIN"
"Solicito troca de meu carimbo (parte almofada).","Carimbo e cartão"
"<b>Não consigo acessar o site do bb (www.bb.com.br).</b><br>","Equip de Informática - Instalação/Manutenção/Desinstalação"
