ocorrencia,problema,prob_id
"Cartão magnético - sistema Acesso - transferência (R$ 10,00) realizada.","Acessos Diversos",70
"Solicito providenciar cartões - Entrada na FBB, e no predio","Acessos Diversos",70
"Rodrigo,
Por favor, verifique a possibilidade de colocar meu cartão nr. 06965 como acesso 2.
Antecipadamente agradeço,
João Junior
 ","Acessos Diversos",70
"Prezados,Solicitamos 2 vias do documento emitido pelo Condomínio do Ed. Number One, referente ao cadastro de veículos para acesso à garagem do prédio.","Acessos Diversos",70
"O novo Diretor Executivo de Gestão de Pessoas, Controladoria e  Logística será o Sr. DÊNIS C","Acessos Diversos",70
"Boa tarde pessoas lindas e maravilhosas da GEPIN!Venho, humildemente, solicitar a confecção de um novo cartão de acesso à FBB e áreas restritas Getec, visto que meu cartão está em situaç&","Acessos Diversos",70
"



<link href=""file:///C:\DO","Acessos Diversos",70
"AUTORIZAÇÃO PARA TRANSPORTADORA AVG SAIR DO PRÉDIO COM MATERIAIS PROMOCIONAIS (BRINDES) QUE SERÃO ENVIADOS PARA PÚBLICOS DE RELACIONAMENTO DA FBB. ","Acessos Diversos",70
"Solicito a concessão de acesso ao aplicativo Segur, no SISBB, para realizar cotações de preço nas sub-opções de veículos e patrimônios, de modo a subsidiar as análises de propostas que contempl","Acessos Diversos",70
"Acesso com perfil de Gerente de Núcleo para Ubiratan Pinheiro de assis - Mat. - 9.389.127-X .
Principais acessos:

 

<","Acessos Diversos",70
"Solicitação de cartão de acesso à FBB. Pagamento já efetuado na conta movimento ag.  nr.3382.0  conta nr. 402.248-3 nr. do documento 52.382.000.402.248.","Acessos Diversos",70
"Solicito novo cartão de acesso às dependências da FBB. O cartão anterior foi extraviado ""178"" e deve ser cancelado.","Acessos Diversos",70
" 
Solicito disponibilizar para o funci Deivid Biage da Silva, que assume nesta data:
a) ","Acessos Diversos",70
"Estrela, favor autorizar o pedido do Fadanelli, suporte nr 3511","Acessos Diversos",70
"Acessos diversos para a Funcionária FABIANE DA SILVA PACHECO - MATR. N. 3.152.388-9, Aa saber:
Clientes 01.01/Clientes 02.14/Clientes 40.01-02/ARH 05.21/DEB 01.01-Dados Bpasicos/Clientes/LIC-Intranet/RETAG YC9/REDOC 18-19/PAG 11.13.33 e ","Acessos Diversos",70
"Solicito senha de acesso para ligações telefônicas.","Acessos Diversos",70
"Solicita liberação de acesso ao prédio/5º. andar/FBB, em virtude de trabalho em dia não útil neste sábado (06/06/2009) dos funcionários abaixo relacionados:
<","Acessos Diversos",70
"Minha solicitação de acesso ao Sisbb, aplicativo ARH 10.2.3 foi parcialmente atendida. O acesso a opção 03 continua bloqueada. Portanto, reitero este pedido. Solicito ainda liberação de acesso nos seguintes aplica","Acessos Diversos",70
"Houve perda de acesso ao CPD, precisamos reativar para os funcionários abaixo:   - Richard (já está ok);   - Alex (já está ok);   - Fábio;   - Ber&cc","Acessos Diversos",70
"Favor providênciar (junto a DIREV) acesso ao diretor executivo Denis Correa para inclusão de email do bb no aplicativo pessoal do SISBB através das opções acesso 01-21-11 informar a mtarícula e dar acesso no aplica","Acessos Diversos",70
"Solicita liberação de acesso ao prédio e às dependências da FBB no 5º. Andar, em virtude de trabalho em dia não útil nesta Quinta-Feira (11/06/2009) para funcionários abaixo relaci","Acessos Diversos",70
"Para entrar na FBB preciso passar o cartão e registrar a senha de acesso, entretanto a mensagem no aparelho é ""DIGITAL NÃO CADASTRADA"", esse problema não está acontecendo só comigo.","Acessos Diversos",70
"Solicito acesso a FBB para trabalhar no sábado dia 13/06/2009 de 08:00 as 12:00h. Necessito de acesso a rede e ao Sapiens.","Acessos Diversos",70
"Solicitamos acesso ao funcionário Jefferson D'Avila de Oliveira neste final de semana, pois ele vai trabalhar.","Acessos Diversos",70
"Solicito acesso para consultar CADIN.","Acessos Diversos",70
"Conforme orientação da GETEC para que enviássemos esta solicitação à GEPIN  e tendo em vista a transferência da funcionária Simone Alves da Costa da GEPIN para a GEFIC solicito:- Altera&cce","Acessos Diversos",70
"Acesso SISBB, sistema ARH, opção 5 / 21
Obrigada!","Acessos Diversos",70
"Favor conceder os acessos devidos ao colega Lino, novo funcionários da EDUCA, perfil de acessos idêntico ao do colega Adeilson, uma vez que o mesmo atuará no mesmo Programa. 
 ","Acessos Diversos",70
"Prezados, 
Solicitamos disponibilizar 4 (quatro) vagas no estacionamento interno do prédio para os conselheiros, durante a realização da reunião do Conselho Fiscal, no dia 24 de junho, bem como encaminhamento de mapa","Acessos Diversos",70
"Autorização  para acessos  ao 9º andar -FBB, trabalho dia não útil - 20.06.2009 - período de 8:00 às 14:00h,  para os funcionários abaixo relacionados:
2.618.840 - Edgard&nbsp","Acessos Diversos",70
"Solicita liberação de acesso ao prédio e às dependências da FBB no 5º. Andar, em virtude de trabalho em dia não útil nesta Quinta-Feira (20/06/2009) para funcionários abaixo rel","Acessos Diversos",70
"Favor conceder todos os acessos pertinentes para o novo Diretor da Diges, Dênis Côrrea, conforme voto PRESI 2009/00996 de 2.6.2009, aprovado em 25.06.2009.","Acessos Diversos",70
"Solicita liberação de acesso ao prédio e às dependências da FBB no 5º. Andar, em virtude de trabalho em dia não útil nesta Quinta-Feira (20/06/2009) para funcionários abaixo rel","Acessos Diversos",70
"Reativação de Acessos                  Nome:   &n","Acessos Diversos",70
"Acesso aos sistemas da Fundação                  Nome: &nbs","Acessos Diversos",70
"Conceder acesso, aos funcis JAMIL e PRISCILA MARTINELLI, ao aplicativo DEB 35 - 09 - 02/10/15/30/31/32/33","Acessos Diversos",70
"Acesso aos sistemas da Fundação                  Nome: &nbs","Acessos Diversos",70
"Alteração de Acessos                  Nome:   &nb","Acessos Diversos",70
